seed,config,ld,fp_pct,bc_delay,human_review_mean,le2e,fn_pct,compliance_pct
6,wcsac,15.166,12.6412,,,15.166,3.4452,100.0
7,wcsac,15.17,11.4557,,,15.17,4.8876,100.0
8,wcsac,15.2156,10.8113,,,15.2156,1.2307,100.0
9,wcsac,15.6243,10.775,,,15.6243,5.9613,100.0
10,wcsac,16.9196,7.9439,,,16.9196,5.6954,100.0
11,wcsac,13.6725,11.2791,,,13.6725,1.807,100.0
12,wcsac,14.4218,6.5115,,,14.4218,3.1512,100.0
13,wcsac,16.3636,8.9138,,,16.3636,2.7923,100.0
14,wcsac,12.8461,8.7218,,,12.8461,3.066,100.0
15,wcsac,14.7384,6.3654,,,14.7384,4.6582,100.0
16,wcsac,13.5842,9.3185,,,13.5842,2.9291,64.0
17,wcsac,14.3455,12.5191,,,14.3455,2.4593,64.0
18,wcsac,14.9081,8.8991,,,14.9081,4.3796,64.0
19,wcsac,12.1714,7.316,,,12.1714,5.1369,20.0
0,adaptive_ai,14.6513,21.0118,,,14.6513,1.061,0.0
1,adaptive_ai,16.2977,18.6271,,,16.2977,0.8036,0.0
2,adaptive_ai,16.8563,23.6819,,,16.8563,0.4923,0.0
3,adaptive_ai,16.5869,23.9521,,,16.5869,0.6795,0.0
4,adaptive_ai,14.8745,21.9324,,,14.8745,1.2942,0.0
5,adaptive_ai,17.1864,23.2297,,,17.1864,0.1833,0.0
6,adaptive_ai,16.766,25.8033,,,16.766,0.4178,0.0
7,adaptive_ai,16.77,24.5585,,,16.77,1.04,0.0
8,adaptive_ai,16.8156,23.8818,,,16.8156,1.286,0.0
9,adaptive_ai,17.2243,23.8437,,,17.2243,0.8694,0.0
10,adaptive_ai,18.5196,20.8711,,,18.5196,0.6058,0.0
11,adaptive_ai,15.2725,24.3731,,,15.2725,1.238,0.0
12,adaptive_ai,16.0218,19.3671,,,16.0218,0.6783,0.0
13,adaptive_ai,17.9636,21.8895,,,17.9636,1.9296,0.0
14,adaptive_ai,14.4461,21.6879,,,14.4461,1.5616,0.0
15,adaptive_ai,16.3384,19.2137,,,16.3384,1.847,0.0
16,adaptive_ai,15.1842,22.3144,,,15.1842,0.3911,0.0
17,adaptive_ai,15.9455,25.675,,,15.9455,0.6357,0.0
18,adaptive_ai,16.5081,21.8741,,,16.5081,0.7419,0.0
19,adaptive_ai,13.7714,20.2118,,,13.7714,0.2438,0.0
0,static,37.4992,13.7134,,,37.4992,2.0437,0.0
1,static,41.7523,10.9881,,,41.7523,3.0693,0.0
2,static,43.1955,16.765,,,43.1955,2.2635,0.0
3,static,42.4994,17.0738,,,42.4994,0.9064,0.0
4,static,38.0757,14.7656,,,38.0757,1.2308,0.0
5,static,44.0482,16.2482,,,44.0482,2.2006,0.0
6,static,42.9622,19.1895,,,42.9622,1.5973,0.0
7,static,42.9725,17.7669,,,42.9725,2.4215,0.0
8,static,43.0903,16.9935,,,43.0903,0.3318,0.0
9,static,44.1461,16.9499,,,44.1461,3.035,0.0
10,static,47.4922,13.5527,,,47.4922,2.8831,0.0
11,static,39.1039,17.555,,,39.1039,0.6612,0.0
12,static,41.0396,11.8338,,,41.0396,1.4292,0.0
13,static,46.0559,14.7166,,,46.0559,1.2242,0.0
14,static,36.969,14.4862,,,36.969,1.3806,0.0
15,static,41.8576,11.6585,,,41.8576,2.2904,0.0
16,static,38.8758,15.2022,,,38.8758,1.3023,0.0
17,static,40.8426,19.0429,,,40.8426,1.0339,0.0
18,static,42.296,14.699,,,42.296,2.1312,0.0
19,static,35.226,12.7993,,,35.226,2.564,0.0
