seed,attack_type,parameter,gomdp,central_sig,central,metric
16,byzantine,f=2,3.5925,3.5925,,fp_pct
17,byzantine,f=2,6.7403,6.7403,,fp_pct
18,byzantine,f=2,7.3391,7.3391,,fp_pct
19,byzantine,f=2,7.1391,7.1391,,fp_pct
0,byzantine,f=3,8.7493,8.7493,,fp_pct
1,byzantine,f=3,6.897,6.897,,fp_pct
2,byzantine,f=3,9.407,9.407,,fp_pct
3,byzantine,f=3,9.4806,9.4806,,fp_pct
4,byzantine,f=3,9.3362,9.3362,,fp_pct
5,byzantine,f=3,7.5413,7.5413,,fp_pct
6,byzantine,f=3,6.7734,6.7734,,fp_pct
7,byzantine,f=3,7.3581,7.3581,,fp_pct
8,byzantine,f=3,10.2172,10.2172,,fp_pct
9,byzantine,f=3,8.732,8.732,,fp_pct
10,byzantine,f=3,7.5568,7.5568,,fp_pct
11,byzantine,f=3,7.1722,7.1722,,fp_pct
12,byzantine,f=3,11.5851,11.5851,,fp_pct
13,byzantine,f=3,9.8012,9.8012,,fp_pct
14,byzantine,f=3,11.4788,11.4788,,fp_pct
15,byzantine,f=3,10.2955,10.2955,,fp_pct
16,byzantine,f=3,4.6332,4.6332,,fp_pct
17,byzantine,f=3,9.7842,9.7842,,fp_pct
18,byzantine,f=3,10.764,10.764,,fp_pct
19,byzantine,f=3,10.4367,10.4367,,fp_pct
