seed,method,framework,ld,fp_pct,governance_compliance_pct
10,Shield-PPO,Logical,17.5196,5.2535,100.0
11,Shield-PPO,Logical,14.2725,7.4214,100.0
12,Shield-PPO,Logical,15.0218,4.3225,100.0
13,Shield-PPO,Logical,16.9636,5.884,100.0
14,Shield-PPO,Logical,13.4461,5.7592,100.0
15,Shield-PPO,Logical,15.3384,4.2275,100.0
16,Shield-PPO,Logical,14.1842,6.147,100.0
17,Shield-PPO,Logical,14.9455,8.2274,100.0
18,Shield-PPO,Logical,15.5081,5.8744,100.0
19,Shield-PPO,Logical,12.7714,4.8454,100.0
0,SafeLayer,Learned,13.4804,5.9423,100.0
1,SafeLayer,Learned,14.9895,4.1254,100.0
2,SafeLayer,Learned,15.5016,7.9767,100.0
3,SafeLayer,Learned,15.2546,8.1825,100.0
4,SafeLayer,Learned,13.6849,6.6438,100.0
5,SafeLayer,Learned,15.8042,7.6322,100.0
6,SafeLayer,Learned,15.4188,9.593,100.0
7,SafeLayer,Learned,15.4225,8.6446,100.0
8,SafeLayer,Learned,15.4643,8.129,100.0
9,SafeLayer,Learned,15.839,8.1,100.0
10,SafeLayer,Learned,17.0263,5.8351,100.0
11,SafeLayer,Learned,14.0498,8.5033,100.0
12,SafeLayer,Learned,14.7366,4.6892,100.0
13,SafeLayer,Learned,16.5166,6.611,100.0
14,SafeLayer,Learned,13.2922,6.4575,100.0
15,SafeLayer,Learned,15.0269,4.5723,100.0
16,SafeLayer,Learned,13.9688,6.9348,100.0
17,SafeLayer,Learned,14.6667,9.4953,100.0
18,SafeLayer,Learned,15.1824,6.5993,100.0
19,SafeLayer,Learned,12.6737,5.3328,68.0
0,PPO-CMDP,CMDP,13.5094,6.7134,100.0
1,PPO-CMDP,CMDP,14.8814,3.9881,100.0
2,PPO-CMDP,CMDP,15.3469,9.765,100.0
3,PPO-CMDP,CMDP,15.1224,10.0738,100.0
4,PPO-CMDP,CMDP,13.6954,7.7656,100.0
5,PPO-CMDP,CMDP,15.622,9.2482,100.0
6,PPO-CMDP,CMDP,15.2717,12.1895,100.0
7,PPO-CMDP,CMDP,15.275,10.7669,100.0
8,PPO-CMDP,CMDP,15.313,9.9935,100.0
9,PPO-CMDP,CMDP,15.6536,9.9499,100.0
10,PPO-CMDP,CMDP,16.733,6.5527,100.0
11,PPO-CMDP,CMDP,14.0271,10.555,100.0
12,PPO-CMDP,CMDP,14.6515,4.8338,100.0
13,PPO-CMDP,CMDP,16.2697,7.7166,100.0
14,PPO-CMDP,CMDP,13.3384,7.4862,100.0
15,PPO-CMDP,CMDP,14.9154,4.6585,100.0
16,PPO-CMDP,CMDP,13.9535,8.2022,100.0
17,PPO-CMDP,CMDP,14.5879,12.0429,70.0
18,PPO-CMDP,CMDP,15.0568,7.699,70.0
19,PPO-CMDP,CMDP,12.7761,5.7993,16.0
0,WCSAC,CMDP,13.0513,8.0779,100.0
1,WCSAC,CMDP,14.6977,5.8068,100.0
2,WCSAC,CMDP,15.2563,10.6208,100.0
3,WCSAC,CMDP,14.9869,10.8781,100.0
4,WCSAC,CMDP,13.2745,8.9547,100.0
5,WCSAC,CMDP,15.5864,10.1902,100.0
6,WCSAC,CMDP,15.166,12.6412,100.0
7,WCSAC,CMDP,15.17,11.4557,100.0
8,WCSAC,CMDP,15.2156,10.8113,100.0
9,WCSAC,CMDP,15.6243,10.775,100.0
10,WCSAC,CMDP,16.9196,7.9439,100.0
11,WCSAC,CMDP,13.6725,11.2791,100.0
12,WCSAC,CMDP,14.4218,6.5115,100.0
13,WCSAC,CMDP,16.3636,8.9138,100.0
14,WCSAC,CMDP,12.8461,8.7218,100.0
15,WCSAC,CMDP,14.7384,6.3654,100.0
16,WCSAC,CMDP,13.5842,9.3185,64.0
17,WCSAC,CMDP,14.3455,12.5191,64.0
18,WCSAC,CMDP,14.9081,8.8991,64.0
19,WCSAC,CMDP,12.1714,7.316,20.0
0,Adaptive AI,None,14.6513,21.0118,0.0
1,Adaptive AI,None,16.2977,18.6271,0.0
2,Adaptive AI,None,16.8563,23.6819,0.0
3,Adaptive AI,None,16.5869,23.9521,0.0
4,Adaptive AI,None,14.8745,21.9324,0.0
5,Adaptive AI,None,17.1864,23.2297,0.0
6,Adaptive AI,None,16.766,25.8033,0.0
7,Adaptive AI,None,16.77,24.5585,0.0
8,Adaptive AI,None,16.8156,23.8818,0.0
9,Adaptive AI,None,17.2243,23.8437,0.0
10,Adaptive AI,None,18.5196,20.8711,0.0
11,Adaptive AI,None,15.2725,24.3731,0.0
12,Adaptive AI,None,16.0218,19.3671,0.0
13,Adaptive AI,None,17.9636,21.8895,0.0
14,Adaptive AI,None,14.4461,21.6879,0.0
15,Adaptive AI,None,16.3384,19.2137,0.0
16,Adaptive AI,None,15.1842,22.3144,0.0
17,Adaptive AI,None,15.9455,25.675,0.0
18,Adaptive AI,None,16.5081,21.8741,0.0
19,Adaptive AI,None,13.7714,20.2118,0.0
0,Static,None,37.4992,13.7134,0.0
1,Static,None,41.7523,10.9881,0.0
2,Static,None,43.1955,16.765,0.0
3,Static,None,42.4994,17.0738,0.0
4,Static,None,38.0757,14.7656,0.0
5,Static,None,44.0482,16.2482,0.0
6,Static,None,42.9622,19.1895,0.0
7,Static,None,42.9725,17.7669,0.0
8,Static,None,43.0903,16.9935,0.0
9,Static,None,44.1461,16.9499,0.0
10,Static,None,47.4922,13.5527,0.0
11,Static,None,39.1039,17.555,0.0
12,Static,None,41.0396,11.8338,0.0
13,Static,None,46.0559,14.7166,0.0
14,Static,None,36.969,14.4862,0.0
15,Static,None,41.8576,11.6585,0.0
16,Static,None,38.8758,15.2022,0.0
17,Static,None,40.8426,19.0429,0.0
18,Static,None,42.296,14.699,0.0
19,Static,None,35.226,12.7993,0.0
