seed,attack_type,parameter,gomdp_fp,central_fp,p_breach_gomdp,p_breach_central
16,spoofing,p=0.10,4.7184,36.3885,0.0,0.312
17,spoofing,p=0.10,8.4386,33.096,0.0,0.312
18,spoofing,p=0.10,9.1462,34.5964,0.0,0.312
19,spoofing,p=0.10,8.9098,30.406,0.0,0.312
0,spoofing,p=0.20,9.2744,41.173,0.0,0.387
1,spoofing,p=0.20,7.7309,35.1217,0.0,0.387
2,spoofing,p=0.20,9.8225,34.4535,0.0,0.387
3,spoofing,p=0.20,9.8839,36.8842,0.0,0.387
4,spoofing,p=0.20,9.7635,39.7457,0.0,0.387
5,spoofing,p=0.20,8.2678,34.6583,0.0,0.387
6,spoofing,p=0.20,7.6279,41.5332,0.0,0.387
7,spoofing,p=0.20,8.1151,38.5335,0.0,0.387
8,spoofing,p=0.20,10.4977,39.7676,0.0,0.387
9,spoofing,p=0.20,9.26,37.6372,0.0,0.387
10,spoofing,p=0.20,8.2807,38.9299,0.0,0.387
11,spoofing,p=0.20,7.9602,39.0339,0.0,0.387
12,spoofing,p=0.20,11.6376,29.4072,0.0,0.387
13,spoofing,p=0.20,10.151,42.3862,0.0,0.387
14,spoofing,p=0.20,11.549,40.1496,0.0,0.387
15,spoofing,p=0.20,10.5629,38.0943,0.0,0.387
16,spoofing,p=0.20,5.8444,44.962,0.0,0.387
17,spoofing,p=0.20,10.1368,40.9883,0.0,0.387
18,spoofing,p=0.20,10.9534,42.7991,0.0,0.387
19,spoofing,p=0.20,10.6806,37.7417,0.0,0.387
0,spoofing_strategic,p=0.10,8.4828,36.7611,0.0,0.345
1,spoofing_strategic,p=0.10,7.0421,31.2284,0.0,0.345
2,spoofing_strategic,p=0.10,8.9943,30.6175,0.0,0.345
3,spoofing_strategic,p=0.10,9.0516,32.8398,0.0,0.345
4,spoofing_strategic,p=0.10,8.9392,35.4561,0.0,0.345
5,spoofing_strategic,p=0.10,7.5433,30.8047,0.0,0.345
6,spoofing_strategic,p=0.10,6.946,37.0904,0.0,0.345
7,spoofing_strategic,p=0.10,7.4007,34.3478,0.0,0.345
8,spoofing_strategic,p=0.10,9.6245,35.4761,0.0,0.345
9,spoofing_strategic,p=0.10,8.4694,33.5283,0.0,0.345
10,spoofing_strategic,p=0.10,7.5553,34.7102,0.0,0.345
11,spoofing_strategic,p=0.10,7.2562,34.8053,0.0,0.345
12,spoofing_strategic,p=0.10,10.6884,26.0037,0.0,0.345
13,spoofing_strategic,p=0.10,9.301,37.8702,0.0,0.345
14,spoofing_strategic,p=0.10,10.6057,35.8253,0.0,0.345
15,spoofing_strategic,p=0.10,9.6854,33.9462,0.0,0.345
16,spoofing_strategic,p=0.10,5.2814,40.2253,0.0,0.345
17,spoofing_strategic,p=0.10,9.2877,36.5921,0.0,0.345
18,spoofing_strategic,p=0.10,10.0498,38.2477,0.0,0.345
19,spoofing_strategic,p=0.10,9.7952,33.6238,0.0,0.345
0,injection,p_att=1.0,5.9079,100.0,0.0,1.0
1,injection,p_att=1.0,4.776,100.0,0.0,1.0
2,injection,p_att=1.0,6.3098,100.0,0.0,1.0
3,injection,p_att=1.0,6.3548,100.0,0.0,1.0
4,injection,p_att=1.0,6.2666,100.0,0.0,1.0
5,injection,p_att=1.0,5.1697,100.0,0.0,1.0
6,injection,p_att=1.0,4.7004,100.0,0.0,1.0
7,injection,p_att=1.0,5.0577,100.0,0.0,1.0
8,injection,p_att=1.0,6.805,100.0,0.0,1.0
9,injection,p_att=1.0,5.8973,100.0,0.0,1.0
10,injection,p_att=1.0,5.1792,100.0,0.0,1.0
11,injection,p_att=1.0,4.9441,100.0,0.0,1.0
12,injection,p_att=1.0,7.6409,100.0,0.0,1.0
13,injection,p_att=1.0,6.5508,100.0,0.0,1.0
14,injection,p_att=1.0,7.5759,100.0,0.0,1.0
15,injection,p_att=1.0,6.8528,100.0,0.0,1.0
16,injection,p_att=1.0,3.3925,100.0,0.0,1.0
17,injection,p_att=1.0,6.5403,100.0,0.0,1.0
18,injection,p_att=1.0,7.1391,100.0,0.0,1.0
19,injection,p_att=1.0,6.9391,100.0,0.0,1.0
0,byzantine,f=0,5.9079,,0.004,0.05
1,byzantine,f=0,4.776,,0.004,0.05
2,byzantine,f=0,6.3098,,0.004,0.05
3,byzantine,f=0,6.3548,,0.004,0.05
4,byzantine,f=0,6.2666,,0.004,0.05
5,byzantine,f=0,5.1697,,0.004,0.05
6,byzantine,f=0,4.7004,,0.004,0.05
7,byzantine,f=0,5.0577,,0.004,0.05
8,byzantine,f=0,6.805,,0.004,0.05
9,byzantine,f=0,5.8973,,0.004,0.05
10,byzantine,f=0,5.1792,,0.004,0.05
11,byzantine,f=0,4.9441,,0.004,0.05
12,byzantine,f=0,7.6409,,0.004,0.05
13,byzantine,f=0,6.5508,,0.004,0.05
14,byzantine,f=0,7.5759,,0.004,0.05
15,byzantine,f=0,6.8528,,0.004,0.05
16,byzantine,f=0,3.3925,,0.004,0.05
17,byzantine,f=0,6.5403,,0.004,0.05
18,byzantine,f=0,7.1391,,0.004,0.05
19,byzantine,f=0,6.9391,,0.004,0.05
0,byzantine,f=1,6.0079,,0.026,0.1
1,byzantine,f=1,4.876,,0.026,0.1
2,byzantine,f=1,6.4098,,0.026,0.1
3,byzantine,f=1,6.4548,,0.026,0.1
4,byzantine,f=1,6.3666,,0.026,0.1
5,byzantine,f=1,5.2697,,0.026,0.1
6,byzantine,f=1,4.8004,,0.026,0.1
7,byzantine,f=1,5.1577,,0.026,0.1
8,byzantine,f=1,6.905,,0.026,0.1
9,byzantine,f=1,5.9973,,0.026,0.1
10,byzantine,f=1,5.2792,,0.026,0.1
11,byzantine,f=1,5.0441,,0.026,0.1
12,byzantine,f=1,7.7409,,0.026,0.1
13,byzantine,f=1,6.6508,,0.026,0.1
14,byzantine,f=1,7.6759,,0.026,0.1
15,byzantine,f=1,6.9528,,0.026,0.1
16,byzantine,f=1,3.4925,,0.026,0.1
17,byzantine,f=1,6.6403,,0.026,0.1
18,byzantine,f=1,7.2391,,0.026,0.1
19,byzantine,f=1,7.0391,,0.026,0.1
0,byzantine,f=2,6.1079,,0.148,0.2
1,byzantine,f=2,4.976,,0.148,0.2
2,byzantine,f=2,6.5098,,0.148,0.2
3,byzantine,f=2,6.5548,,0.148,0.2
4,byzantine,f=2,6.4666,,0.148,0.2
5,byzantine,f=2,5.3697,,0.148,0.2
6,byzantine,f=2,4.9004,,0.148,0.2
7,byzantine,f=2,5.2577,,0.148,0.2
8,byzantine,f=2,7.005,,0.148,0.2
9,byzantine,f=2,6.0973,,0.148,0.2
10,byzantine,f=2,5.3792,,0.148,0.2
11,byzantine,f=2,5.1441,,0.148,0.2
12,byzantine,f=2,7.8409,,0.148,0.2
13,byzantine,f=2,6.7508,,0.148,0.2
14,byzantine,f=2,7.7759,,0.148,0.2
15,byzantine,f=2,7.0528,,0.148,0.2
16,byzantine,f=2,3.5925,,0.148,0.2
17,byzantine,f=2,6.7403,,0.148,0.2
18,byzantine,f=2,7.3391,,0.148,0.2
19,byzantine,f=2,7.1391,,0.148,0.2
0,byzantine,f=3,8.7493,,0.353,0.3
1,byzantine,f=3,6.897,,0.353,0.3
2,byzantine,f=3,9.407,,0.353,0.3
3,byzantine,f=3,9.4806,,0.353,0.3
4,byzantine,f=3,9.3362,,0.353,0.3
5,byzantine,f=3,7.5413,,0.353,0.3
6,byzantine,f=3,6.7734,,0.353,0.3
7,byzantine,f=3,7.3581,,0.353,0.3
8,byzantine,f=3,10.2172,,0.353,0.3
9,byzantine,f=3,8.732,,0.353,0.3
10,byzantine,f=3,7.5568,,0.353,0.3
11,byzantine,f=3,7.1722,,0.353,0.3
12,byzantine,f=3,11.5851,,0.353,0.3
13,byzantine,f=3,9.8012,,0.353,0.3
14,byzantine,f=3,11.4788,,0.353,0.3
15,byzantine,f=3,10.2955,,0.353,0.3
16,byzantine,f=3,4.6332,,0.353,0.3
17,byzantine,f=3,9.7842,,0.353,0.3
18,byzantine,f=3,10.764,,0.353,0.3
19,byzantine,f=3,10.4367,,0.353,0.3
