seed,attack_type,parameter,gomdp,central_sig,central,metric
18,Spoofing (i.i.d.),p=0.10,9.1462,9.1462,34.5964,fp_pct
19,Spoofing (i.i.d.),p=0.10,8.9098,8.9098,30.406,fp_pct
0,Spoofing (i.i.d.),p=0.20,9.2744,9.2744,41.173,fp_pct
1,Spoofing (i.i.d.),p=0.20,7.7309,7.7309,35.1217,fp_pct
2,Spoofing (i.i.d.),p=0.20,9.8225,9.8225,34.4535,fp_pct
3,Spoofing (i.i.d.),p=0.20,9.8839,9.8839,36.8842,fp_pct
4,Spoofing (i.i.d.),p=0.20,9.7635,9.7635,39.7457,fp_pct
5,Spoofing (i.i.d.),p=0.20,8.2678,8.2678,34.6583,fp_pct
6,Spoofing (i.i.d.),p=0.20,7.6279,7.6279,41.5332,fp_pct
7,Spoofing (i.i.d.),p=0.20,8.1151,8.1151,38.5335,fp_pct
8,Spoofing (i.i.d.),p=0.20,10.4977,10.4977,39.7676,fp_pct
9,Spoofing (i.i.d.),p=0.20,9.26,9.26,37.6372,fp_pct
10,Spoofing (i.i.d.),p=0.20,8.2807,8.2807,38.9299,fp_pct
11,Spoofing (i.i.d.),p=0.20,7.9602,7.9602,39.0339,fp_pct
12,Spoofing (i.i.d.),p=0.20,11.6376,11.6376,29.4072,fp_pct
13,Spoofing (i.i.d.),p=0.20,10.151,10.151,42.3862,fp_pct
14,Spoofing (i.i.d.),p=0.20,11.549,11.549,40.1496,fp_pct
15,Spoofing (i.i.d.),p=0.20,10.5629,10.5629,38.0943,fp_pct
16,Spoofing (i.i.d.),p=0.20,5.8444,5.8444,44.962,fp_pct
17,Spoofing (i.i.d.),p=0.20,10.1368,10.1368,40.9883,fp_pct
18,Spoofing (i.i.d.),p=0.20,10.9534,10.9534,42.7991,fp_pct
19,Spoofing (i.i.d.),p=0.20,10.6806,10.6806,37.7417,fp_pct
0,Spoofing (strategic),p=0.10,8.4828,8.4828,36.7611,fp_pct
1,Spoofing (strategic),p=0.10,7.0421,7.0421,31.2284,fp_pct
2,Spoofing (strategic),p=0.10,8.9943,8.9943,30.6175,fp_pct
3,Spoofing (strategic),p=0.10,9.0516,9.0516,32.8398,fp_pct
4,Spoofing (strategic),p=0.10,8.9392,8.9392,35.4561,fp_pct
5,Spoofing (strategic),p=0.10,7.5433,7.5433,30.8047,fp_pct
6,Spoofing (strategic),p=0.10,6.946,6.946,37.0904,fp_pct
7,Spoofing (strategic),p=0.10,7.4007,7.4007,34.3478,fp_pct
8,Spoofing (strategic),p=0.10,9.6245,9.6245,35.4761,fp_pct
9,Spoofing (strategic),p=0.10,8.4694,8.4694,33.5283,fp_pct
10,Spoofing (strategic),p=0.10,7.5553,7.5553,34.7102,fp_pct
11,Spoofing (strategic),p=0.10,7.2562,7.2562,34.8053,fp_pct
12,Spoofing (strategic),p=0.10,10.6884,10.6884,26.0037,fp_pct
13,Spoofing (strategic),p=0.10,9.301,9.301,37.8702,fp_pct
14,Spoofing (strategic),p=0.10,10.6057,10.6057,35.8253,fp_pct
15,Spoofing (strategic),p=0.10,9.6854,9.6854,33.9462,fp_pct
16,Spoofing (strategic),p=0.10,5.2814,5.2814,40.2253,fp_pct
17,Spoofing (strategic),p=0.10,9.2877,9.2877,36.5921,fp_pct
18,Spoofing (strategic),p=0.10,10.0498,10.0498,38.2477,fp_pct
19,Spoofing (strategic),p=0.10,9.7952,9.7952,33.6238,fp_pct
0,Alert injection (success),p_att=1,5.9079,5.9079,100.0,injection_ratio
1,Alert injection (success),p_att=1,4.776,4.776,100.0,injection_ratio
2,Alert injection (success),p_att=1,6.3098,6.3098,100.0,injection_ratio
3,Alert injection (success),p_att=1,6.3548,6.3548,100.0,injection_ratio
4,Alert injection (success),p_att=1,6.2666,6.2666,100.0,injection_ratio
5,Alert injection (success),p_att=1,5.1697,5.1697,100.0,injection_ratio
6,Alert injection (success),p_att=1,4.7004,4.7004,100.0,injection_ratio
7,Alert injection (success),p_att=1,5.0577,5.0577,100.0,injection_ratio
8,Alert injection (success),p_att=1,6.805,6.805,100.0,injection_ratio
9,Alert injection (success),p_att=1,5.8973,5.8973,100.0,injection_ratio
10,Alert injection (success),p_att=1,5.1792,5.1792,100.0,injection_ratio
11,Alert injection (success),p_att=1,4.9441,4.9441,100.0,injection_ratio
12,Alert injection (success),p_att=1,7.6409,7.6409,100.0,injection_ratio
13,Alert injection (success),p_att=1,6.5508,6.5508,100.0,injection_ratio
14,Alert injection (success),p_att=1,7.5759,7.5759,100.0,injection_ratio
15,Alert injection (success),p_att=1,6.8528,6.8528,100.0,injection_ratio
16,Alert injection (success),p_att=1,3.3925,3.3925,100.0,injection_ratio
17,Alert injection (success),p_att=1,6.5403,6.5403,100.0,injection_ratio
18,Alert injection (success),p_att=1,7.1391,7.1391,100.0,injection_ratio
19,Alert injection (success),p_att=1,6.9391,6.9391,100.0,injection_ratio
0,byzantine,f=0,5.9079,5.9079,,fp_pct
1,byzantine,f=0,4.776,4.776,,fp_pct
2,byzantine,f=0,6.3098,6.3098,,fp_pct
3,byzantine,f=0,6.3548,6.3548,,fp_pct
4,byzantine,f=0,6.2666,6.2666,,fp_pct
5,byzantine,f=0,5.1697,5.1697,,fp_pct
6,byzantine,f=0,4.7004,4.7004,,fp_pct
7,byzantine,f=0,5.0577,5.0577,,fp_pct
8,byzantine,f=0,6.805,6.805,,fp_pct
9,byzantine,f=0,5.8973,5.8973,,fp_pct
10,byzantine,f=0,5.1792,5.1792,,fp_pct
11,byzantine,f=0,4.9441,4.9441,,fp_pct
12,byzantine,f=0,7.6409,7.6409,,fp_pct
13,byzantine,f=0,6.5508,6.5508,,fp_pct
14,byzantine,f=0,7.5759,7.5759,,fp_pct
15,byzantine,f=0,6.8528,6.8528,,fp_pct
16,byzantine,f=0,3.3925,3.3925,,fp_pct
17,byzantine,f=0,6.5403,6.5403,,fp_pct
18,byzantine,f=0,7.1391,7.1391,,fp_pct
19,byzantine,f=0,6.9391,6.9391,,fp_pct
0,byzantine,f=1,6.0079,6.0079,,fp_pct
1,byzantine,f=1,4.876,4.876,,fp_pct
2,byzantine,f=1,6.4098,6.4098,,fp_pct
3,byzantine,f=1,6.4548,6.4548,,fp_pct
4,byzantine,f=1,6.3666,6.3666,,fp_pct
5,byzantine,f=1,5.2697,5.2697,,fp_pct
6,byzantine,f=1,4.8004,4.8004,,fp_pct
7,byzantine,f=1,5.1577,5.1577,,fp_pct
8,byzantine,f=1,6.905,6.905,,fp_pct
9,byzantine,f=1,5.9973,5.9973,,fp_pct
10,byzantine,f=1,5.2792,5.2792,,fp_pct
11,byzantine,f=1,5.0441,5.0441,,fp_pct
12,byzantine,f=1,7.7409,7.7409,,fp_pct
13,byzantine,f=1,6.6508,6.6508,,fp_pct
14,byzantine,f=1,7.6759,7.6759,,fp_pct
15,byzantine,f=1,6.9528,6.9528,,fp_pct
16,byzantine,f=1,3.4925,3.4925,,fp_pct
17,byzantine,f=1,6.6403,6.6403,,fp_pct
18,byzantine,f=1,7.2391,7.2391,,fp_pct
19,byzantine,f=1,7.0391,7.0391,,fp_pct
0,byzantine,f=2,6.1079,6.1079,,fp_pct
1,byzantine,f=2,4.976,4.976,,fp_pct
2,byzantine,f=2,6.5098,6.5098,,fp_pct
3,byzantine,f=2,6.5548,6.5548,,fp_pct
4,byzantine,f=2,6.4666,6.4666,,fp_pct
5,byzantine,f=2,5.3697,5.3697,,fp_pct
6,byzantine,f=2,4.9004,4.9004,,fp_pct
7,byzantine,f=2,5.2577,5.2577,,fp_pct
8,byzantine,f=2,7.005,7.005,,fp_pct
9,byzantine,f=2,6.0973,6.0973,,fp_pct
10,byzantine,f=2,5.3792,5.3792,,fp_pct
11,byzantine,f=2,5.1441,5.1441,,fp_pct
12,byzantine,f=2,7.8409,7.8409,,fp_pct
13,byzantine,f=2,6.7508,6.7508,,fp_pct
14,byzantine,f=2,7.7759,7.7759,,fp_pct
15,byzantine,f=2,7.0528,7.0528,,fp_pct
16,byzantine,f=2,3.5925,3.5925,,fp_pct
17,byzantine,f=2,6.7403,6.7403,,fp_pct
18,byzantine,f=2,7.3391,7.3391,,fp_pct
19,byzantine,f=2,7.1391,7.1391,,fp_pct
0,byzantine,f=3,8.7493,8.7493,,fp_pct
1,byzantine,f=3,6.897,6.897,,fp_pct
2,byzantine,f=3,9.407,9.407,,fp_pct
3,byzantine,f=3,9.4806,9.4806,,fp_pct
4,byzantine,f=3,9.3362,9.3362,,fp_pct
5,byzantine,f=3,7.5413,7.5413,,fp_pct
6,byzantine,f=3,6.7734,6.7734,,fp_pct
7,byzantine,f=3,7.3581,7.3581,,fp_pct
8,byzantine,f=3,10.2172,10.2172,,fp_pct
9,byzantine,f=3,8.732,8.732,,fp_pct
10,byzantine,f=3,7.5568,7.5568,,fp_pct
11,byzantine,f=3,7.1722,7.1722,,fp_pct
12,byzantine,f=3,11.5851,11.5851,,fp_pct
13,byzantine,f=3,9.8012,9.8012,,fp_pct
14,byzantine,f=3,11.4788,11.4788,,fp_pct
15,byzantine,f=3,10.2955,10.2955,,fp_pct
16,byzantine,f=3,4.6332,4.6332,,fp_pct
17,byzantine,f=3,9.7842,9.7842,,fp_pct
18,byzantine,f=3,10.764,10.764,,fp_pct
19,byzantine,f=3,10.4367,10.4367,,fp_pct
