seed,method,framework,ld,fp_pct,fn_pct,compliance_pct,enforcement
4,Greedy-GOMDP,GOMDP,16.7535,5.8105,1.5885,100.0,Crypto
5,Greedy-GOMDP,GOMDP,19.4508,6.6136,2.8008,100.0,Crypto
6,Greedy-GOMDP,GOMDP,18.9603,8.2068,2.0466,100.0,Crypto
7,Greedy-GOMDP,GOMDP,18.965,7.4362,3.0768,100.0,Crypto
8,Greedy-GOMDP,GOMDP,19.0182,7.0173,0.4648,100.0,Crypto
9,Greedy-GOMDP,GOMDP,19.495,6.9937,3.8438,100.0,Crypto
10,Greedy-GOMDP,GOMDP,21.0061,5.1535,3.6539,100.0,Crypto
11,Greedy-GOMDP,GOMDP,17.2179,7.3214,0.8764,100.0,Crypto
12,Greedy-GOMDP,GOMDP,18.0921,4.2225,1.8366,100.0,Crypto
13,Greedy-GOMDP,GOMDP,20.3575,5.784,1.5802,100.0,Crypto
14,Greedy-GOMDP,GOMDP,16.2537,5.6592,1.7757,100.0,Crypto
15,Greedy-GOMDP,GOMDP,18.4615,4.1275,2.913,100.0,Crypto
16,Greedy-GOMDP,GOMDP,17.1149,6.047,1.6779,100.0,Crypto
17,Greedy-GOMDP,GOMDP,18.0031,8.1274,1.3424,100.0,Crypto
18,Greedy-GOMDP,GOMDP,18.6595,5.7744,2.714,100.0,Crypto
19,Greedy-GOMDP,GOMDP,15.4666,4.7454,3.2549,100.0,Crypto
0,Central+Sig,GOMDP,13.5804,5.2067,,100.0,Sig. only
1,Central+Sig,GOMDP,15.0895,3.8441,,100.0,Sig. only
2,Central+Sig,GOMDP,15.6016,6.7325,,100.0,Sig. only
3,Central+Sig,GOMDP,15.3546,6.8869,,100.0,Sig. only
4,Central+Sig,GOMDP,13.7849,5.7328,,100.0,Sig. only
5,Central+Sig,GOMDP,15.9042,6.4741,,100.0,Sig. only
6,Central+Sig,GOMDP,15.5188,7.9447,,100.0,Sig. only
7,Central+Sig,GOMDP,15.5225,7.2334,,100.0,Sig. only
8,Central+Sig,GOMDP,15.5643,6.8468,,100.0,Sig. only
9,Central+Sig,GOMDP,15.939,6.825,,100.0,Sig. only
10,Central+Sig,GOMDP,17.1263,5.1263,,100.0,Sig. only
11,Central+Sig,GOMDP,14.1498,7.1275,,100.0,Sig. only
12,Central+Sig,GOMDP,14.8366,4.2669,,100.0,Sig. only
13,Central+Sig,GOMDP,16.6166,5.7083,,100.0,Sig. only
14,Central+Sig,GOMDP,13.3922,5.5931,,100.0,Sig. only
15,Central+Sig,GOMDP,15.1269,4.1792,,100.0,Sig. only
16,Central+Sig,GOMDP,14.0688,5.9511,,100.0,Sig. only
17,Central+Sig,GOMDP,14.7667,7.8714,,100.0,Sig. only
18,Central+Sig,GOMDP,15.2824,5.6995,,100.0,Sig. only
19,Central+Sig,GOMDP,12.7737,4.7496,,100.0,Sig. only
0,Shield-PPO,Logical,13.6513,5.3406,,100.0,Logical
1,Shield-PPO,Logical,15.2977,3.8644,,100.0,Logical
2,Shield-PPO,Logical,15.8563,6.9935,,100.0,Logical
3,Shield-PPO,Logical,15.5869,7.1608,,100.0,Logical
4,Shield-PPO,Logical,13.8745,5.9105,,100.0,Logical
5,Shield-PPO,Logical,16.1864,6.7136,,100.0,Logical
6,Shield-PPO,Logical,15.766,8.3068,,100.0,Logical
7,Shield-PPO,Logical,15.77,7.5362,,100.0,Logical
8,Shield-PPO,Logical,15.8156,7.1173,,100.0,Logical
9,Shield-PPO,Logical,16.2243,7.0937,,100.0,Logical
10,Shield-PPO,Logical,17.5196,5.2535,,100.0,Logical
11,Shield-PPO,Logical,14.2725,7.4214,,100.0,Logical
12,Shield-PPO,Logical,15.0218,4.3225,,100.0,Logical
13,Shield-PPO,Logical,16.9636,5.884,,100.0,Logical
14,Shield-PPO,Logical,13.4461,5.7592,,100.0,Logical
15,Shield-PPO,Logical,15.3384,4.2275,,100.0,Logical
16,Shield-PPO,Logical,14.1842,6.147,,100.0,Logical
17,Shield-PPO,Logical,14.9455,8.2274,,100.0,Logical
18,Shield-PPO,Logical,15.5081,5.8744,,100.0,Logical
19,Shield-PPO,Logical,12.7714,4.8454,,100.0,Logical
0,SafeLayer,Learned,13.4804,5.9423,,100.0,Learned
1,SafeLayer,Learned,14.9895,4.1254,,100.0,Learned
2,SafeLayer,Learned,15.5016,7.9767,,100.0,Learned
3,SafeLayer,Learned,15.2546,8.1825,,100.0,Learned
4,SafeLayer,Learned,13.6849,6.6438,,100.0,Learned
5,SafeLayer,Learned,15.8042,7.6322,,100.0,Learned
6,SafeLayer,Learned,15.4188,9.593,,100.0,Learned
7,SafeLayer,Learned,15.4225,8.6446,,100.0,Learned
8,SafeLayer,Learned,15.4643,8.129,,100.0,Learned
9,SafeLayer,Learned,15.839,8.1,,100.0,Learned
10,SafeLayer,Learned,17.0263,5.8351,,100.0,Learned
11,SafeLayer,Learned,14.0498,8.5033,,100.0,Learned
12,SafeLayer,Learned,14.7366,4.6892,,100.0,Learned
13,SafeLayer,Learned,16.5166,6.611,,100.0,Learned
14,SafeLayer,Learned,13.2922,6.4575,,100.0,Learned
15,SafeLayer,Learned,15.0269,4.5723,,100.0,Learned
16,SafeLayer,Learned,13.9688,6.9348,,100.0,Learned
17,SafeLayer,Learned,14.6667,9.4953,,100.0,Learned
18,SafeLayer,Learned,15.1824,6.5993,,100.0,Learned
19,SafeLayer,Learned,12.6737,5.3328,,68.0,Learned
0,PPO-CMDP,CMDP,13.5094,6.7134,2.9046,100.0,Lagrangian
1,PPO-CMDP,CMDP,14.8814,3.9881,4.1866,100.0,Lagrangian
2,PPO-CMDP,CMDP,15.3469,9.765,3.1794,100.0,Lagrangian
3,PPO-CMDP,CMDP,15.1224,10.0738,1.4831,100.0,Lagrangian
4,PPO-CMDP,CMDP,13.6954,7.7656,1.8885,100.0,Lagrangian
5,PPO-CMDP,CMDP,15.622,9.2482,3.1008,100.0,Lagrangian
6,PPO-CMDP,CMDP,15.2717,12.1895,2.3466,100.0,Lagrangian
7,PPO-CMDP,CMDP,15.275,10.7669,3.3768,100.0,Lagrangian
8,PPO-CMDP,CMDP,15.313,9.9935,0.7648,100.0,Lagrangian
9,PPO-CMDP,CMDP,15.6536,9.9499,4.1438,100.0,Lagrangian
10,PPO-CMDP,CMDP,16.733,6.5527,3.9539,100.0,Lagrangian
11,PPO-CMDP,CMDP,14.0271,10.555,1.1764,100.0,Lagrangian
12,PPO-CMDP,CMDP,14.6515,4.8338,2.1366,100.0,Lagrangian
13,PPO-CMDP,CMDP,16.2697,7.7166,1.8802,100.0,Lagrangian
14,PPO-CMDP,CMDP,13.3384,7.4862,2.0757,100.0,Lagrangian
15,PPO-CMDP,CMDP,14.9154,4.6585,3.213,100.0,Lagrangian
16,PPO-CMDP,CMDP,13.9535,8.2022,1.9779,100.0,Lagrangian
17,PPO-CMDP,CMDP,14.5879,12.0429,1.6424,70.0,Lagrangian
18,PPO-CMDP,CMDP,15.0568,7.699,3.014,70.0,Lagrangian
19,PPO-CMDP,CMDP,12.7761,5.7993,3.5549,16.0,Lagrangian
0,WCSAC,CMDP,13.0513,8.0779,4.2264,100.0,Lagrangian
1,WCSAC,CMDP,14.6977,5.8068,6.0213,100.0,Lagrangian
2,WCSAC,CMDP,15.2563,10.6208,4.6112,100.0,Lagrangian
3,WCSAC,CMDP,14.9869,10.8781,2.2363,100.0,Lagrangian
4,WCSAC,CMDP,13.2745,8.9547,2.8039,100.0,Lagrangian
5,WCSAC,CMDP,15.5864,10.1902,4.5011,100.0,Lagrangian
6,WCSAC,CMDP,15.166,12.6412,3.4452,100.0,Lagrangian
7,WCSAC,CMDP,15.17,11.4557,4.8876,100.0,Lagrangian
8,WCSAC,CMDP,15.2156,10.8113,1.2307,100.0,Lagrangian
9,WCSAC,CMDP,15.6243,10.775,5.9613,100.0,Lagrangian
10,WCSAC,CMDP,16.9196,7.9439,5.6954,100.0,Lagrangian
11,WCSAC,CMDP,13.6725,11.2791,1.807,100.0,Lagrangian
12,WCSAC,CMDP,14.4218,6.5115,3.1512,100.0,Lagrangian
13,WCSAC,CMDP,16.3636,8.9138,2.7923,100.0,Lagrangian
14,WCSAC,CMDP,12.8461,8.7218,3.066,100.0,Lagrangian
15,WCSAC,CMDP,14.7384,6.3654,4.6582,100.0,Lagrangian
16,WCSAC,CMDP,13.5842,9.3185,2.9291,64.0,Lagrangian
17,WCSAC,CMDP,14.3455,12.5191,2.4593,64.0,Lagrangian
18,WCSAC,CMDP,14.9081,8.8991,4.3796,64.0,Lagrangian
19,WCSAC,CMDP,12.1714,7.316,5.1369,20.0,Lagrangian
0,Adaptive AI,None,14.6513,21.0118,1.061,0.0,None
1,Adaptive AI,None,16.2977,18.6271,0.8036,0.0,None
2,Adaptive AI,None,16.8563,23.6819,0.4923,0.0,None
3,Adaptive AI,None,16.5869,23.9521,0.6795,0.0,None
4,Adaptive AI,None,14.8745,21.9324,1.2942,0.0,None
5,Adaptive AI,None,17.1864,23.2297,0.1833,0.0,None
6,Adaptive AI,None,16.766,25.8033,0.4178,0.0,None
7,Adaptive AI,None,16.77,24.5585,1.04,0.0,None
8,Adaptive AI,None,16.8156,23.8818,1.286,0.0,None
9,Adaptive AI,None,17.2243,23.8437,0.8694,0.0,None
10,Adaptive AI,None,18.5196,20.8711,0.6058,0.0,None
11,Adaptive AI,None,15.2725,24.3731,1.238,0.0,None
12,Adaptive AI,None,16.0218,19.3671,0.6783,0.0,None
13,Adaptive AI,None,17.9636,21.8895,1.9296,0.0,None
14,Adaptive AI,None,14.4461,21.6879,1.5616,0.0,None
15,Adaptive AI,None,16.3384,19.2137,1.847,0.0,None
16,Adaptive AI,None,15.1842,22.3144,0.3911,0.0,None
17,Adaptive AI,None,15.9455,25.675,0.6357,0.0,None
18,Adaptive AI,None,16.5081,21.8741,0.7419,0.0,None
19,Adaptive AI,None,13.7714,20.2118,0.2438,0.0,None
0,Static,None,37.4992,13.7134,2.0437,0.0,None
1,Static,None,41.7523,10.9881,3.0693,0.0,None
2,Static,None,43.1955,16.765,2.2635,0.0,None
3,Static,None,42.4994,17.0738,0.9064,0.0,None
4,Static,None,38.0757,14.7656,1.2308,0.0,None
5,Static,None,44.0482,16.2482,2.2006,0.0,None
6,Static,None,42.9622,19.1895,1.5973,0.0,None
7,Static,None,42.9725,17.7669,2.4215,0.0,None
8,Static,None,43.0903,16.9935,0.3318,0.0,None
9,Static,None,44.1461,16.9499,3.035,0.0,None
10,Static,None,47.4922,13.5527,2.8831,0.0,None
11,Static,None,39.1039,17.555,0.6612,0.0,None
12,Static,None,41.0396,11.8338,1.4292,0.0,None
13,Static,None,46.0559,14.7166,1.2242,0.0,None
14,Static,None,36.969,14.4862,1.3806,0.0,None
15,Static,None,41.8576,11.6585,2.2904,0.0,None
16,Static,None,38.8758,15.2022,1.3023,0.0,None
17,Static,None,40.8426,19.0429,1.0339,0.0,None
18,Static,None,42.296,14.699,2.1312,0.0,None
19,Static,None,35.226,12.7993,2.564,0.0,None
