seed,config,n_uavs,fp_pct
15,Greedy-GOMDP,40,4.7628
16,Greedy-GOMDP,40,5.6006
17,Greedy-GOMDP,40,5.7145
18,Greedy-GOMDP,40,5.2948
19,Greedy-GOMDP,40,6.9998
0,PPO-CMDP,5,7.9267
1,PPO-CMDP,5,4.7088
2,PPO-CMDP,5,11.5298
3,PPO-CMDP,5,11.8944
4,PPO-CMDP,5,9.169
5,PPO-CMDP,5,10.9196
6,PPO-CMDP,5,14.3924
7,PPO-CMDP,5,12.7127
8,PPO-CMDP,5,11.7995
9,PPO-CMDP,5,11.7481
10,PPO-CMDP,5,7.7369
11,PPO-CMDP,5,12.4625
12,PPO-CMDP,5,5.7074
13,PPO-CMDP,5,9.1112
14,PPO-CMDP,5,8.8391
15,PPO-CMDP,5,5.5004
16,PPO-CMDP,5,9.6845
17,PPO-CMDP,5,14.2193
18,PPO-CMDP,5,9.0904
19,PPO-CMDP,5,6.8474
0,PPO-CMDP,10,7.3605
1,PPO-CMDP,10,4.3725
2,PPO-CMDP,10,10.7062
3,PPO-CMDP,10,11.0448
4,PPO-CMDP,10,8.5141
5,PPO-CMDP,10,10.1396
6,PPO-CMDP,10,13.3644
7,PPO-CMDP,10,11.8047
8,PPO-CMDP,10,10.9567
9,PPO-CMDP,10,10.9089
10,PPO-CMDP,10,7.1843
11,PPO-CMDP,10,11.5723
12,PPO-CMDP,10,5.2997
13,PPO-CMDP,10,8.4604
14,PPO-CMDP,10,8.2078
15,PPO-CMDP,10,5.1075
16,PPO-CMDP,10,8.9928
17,PPO-CMDP,10,13.2037
18,PPO-CMDP,10,8.4411
19,PPO-CMDP,10,6.3583
0,PPO-CMDP,20,6.7134
1,PPO-CMDP,20,3.9881
2,PPO-CMDP,20,9.765
3,PPO-CMDP,20,10.0738
4,PPO-CMDP,20,7.7656
5,PPO-CMDP,20,9.2482
6,PPO-CMDP,20,12.1895
7,PPO-CMDP,20,10.7669
8,PPO-CMDP,20,9.9935
9,PPO-CMDP,20,9.9499
10,PPO-CMDP,20,6.5527
11,PPO-CMDP,20,10.555
12,PPO-CMDP,20,4.8338
13,PPO-CMDP,20,7.7166
14,PPO-CMDP,20,7.4862
15,PPO-CMDP,20,4.6585
16,PPO-CMDP,20,8.2022
17,PPO-CMDP,20,12.0429
18,PPO-CMDP,20,7.699
19,PPO-CMDP,20,5.7993
0,PPO-CMDP,40,8.1788
1,PPO-CMDP,40,6.2394
2,PPO-CMDP,40,9.8322
3,PPO-CMDP,40,7.78
4,PPO-CMDP,40,8.5771
5,PPO-CMDP,40,7.5964
6,PPO-CMDP,40,7.1438
7,PPO-CMDP,40,7.8305
8,PPO-CMDP,40,8.0628
9,PPO-CMDP,40,9.7185
10,PPO-CMDP,40,7.8706
11,PPO-CMDP,40,4.7504
12,PPO-CMDP,40,7.1117
13,PPO-CMDP,40,6.7242
14,PPO-CMDP,40,7.4203
15,PPO-CMDP,40,6.217
16,PPO-CMDP,40,7.3341
17,PPO-CMDP,40,7.486
18,PPO-CMDP,40,6.9264
19,PPO-CMDP,40,9.1997
0,WCSAC,5,8.7654
1,WCSAC,5,6.301
2,WCSAC,5,11.5247
3,WCSAC,5,11.8039
4,WCSAC,5,9.7168
5,WCSAC,5,11.0575
6,WCSAC,5,13.7171
7,WCSAC,5,12.4307
8,WCSAC,5,11.7314
9,WCSAC,5,11.692
10,WCSAC,5,8.62
11,WCSAC,5,12.239
12,WCSAC,5,7.0657
13,WCSAC,5,9.6724
14,WCSAC,5,9.4641
15,WCSAC,5,6.9071
16,WCSAC,5,10.1116
17,WCSAC,5,13.5846
18,WCSAC,5,9.6565
19,WCSAC,5,7.9386
0,WCSAC,10,8.2498
1,WCSAC,10,5.9304
2,WCSAC,10,10.8468
3,WCSAC,10,11.1096
4,WCSAC,10,9.1452
5,WCSAC,10,10.407
6,WCSAC,10,12.9102
7,WCSAC,10,11.6994
8,WCSAC,10,11.0413
9,WCSAC,10,11.0043
10,WCSAC,10,8.1129
11,WCSAC,10,11.5191
12,WCSAC,10,6.65
13,WCSAC,10,9.1035
14,WCSAC,10,8.9074
15,WCSAC,10,6.5008
16,WCSAC,10,9.5168
17,WCSAC,10,12.7855
18,WCSAC,10,9.0884
19,WCSAC,10,7.4717
0,WCSAC,20,8.0779
1,WCSAC,20,5.8068
2,WCSAC,20,10.6208
3,WCSAC,20,10.8781
4,WCSAC,20,8.9547
5,WCSAC,20,10.1902
6,WCSAC,20,12.6412
7,WCSAC,20,11.4557
8,WCSAC,20,10.8113
9,WCSAC,20,10.775
10,WCSAC,20,7.9439
11,WCSAC,20,11.2791
12,WCSAC,20,6.5115
13,WCSAC,20,8.9138
14,WCSAC,20,8.7218
15,WCSAC,20,6.3654
16,WCSAC,20,9.3185
17,WCSAC,20,12.5191
18,WCSAC,20,8.8991
19,WCSAC,20,7.316
0,WCSAC,40,9.3753
1,WCSAC,40,7.1127
2,WCSAC,40,11.3042
3,WCSAC,40,8.91
4,WCSAC,40,9.8399
5,WCSAC,40,8.6958
6,WCSAC,40,8.1678
7,WCSAC,40,8.9689
8,WCSAC,40,9.2399
9,WCSAC,40,11.1716
10,WCSAC,40,9.0157
11,WCSAC,40,5.3754
12,WCSAC,40,8.1304
13,WCSAC,40,7.6782
14,WCSAC,40,8.4904
15,WCSAC,40,7.0865
16,WCSAC,40,8.3898
17,WCSAC,40,8.567
18,WCSAC,40,7.9142
19,WCSAC,40,10.5663
0,Adaptive AI,5,22.325
1,Adaptive AI,5,19.7913
2,Adaptive AI,5,25.162
3,Adaptive AI,5,25.4491
4,Adaptive AI,5,23.3032
5,Adaptive AI,5,24.6816
6,Adaptive AI,5,27.416
7,Adaptive AI,5,26.0934
8,Adaptive AI,5,25.3744
9,Adaptive AI,5,25.3339
10,Adaptive AI,5,22.1755
11,Adaptive AI,5,25.8964
12,Adaptive AI,5,20.5775
13,Adaptive AI,5,23.2576
14,Adaptive AI,5,23.0434
15,Adaptive AI,5,20.4146
16,Adaptive AI,5,23.709
17,Adaptive AI,5,27.2797
18,Adaptive AI,5,23.2412
19,Adaptive AI,5,21.475
0,Adaptive AI,10,21.6684
1,Adaptive AI,10,19.2092
2,Adaptive AI,10,24.422
3,Adaptive AI,10,24.7006
4,Adaptive AI,10,22.6178
5,Adaptive AI,10,23.9556
6,Adaptive AI,10,26.6097
7,Adaptive AI,10,25.326
8,Adaptive AI,10,24.6281
9,Adaptive AI,10,24.5888
10,Adaptive AI,10,21.5233
11,Adaptive AI,10,25.1348
12,Adaptive AI,10,19.9723
13,Adaptive AI,10,22.5735
14,Adaptive AI,10,22.3656
15,Adaptive AI,10,19.8141
16,Adaptive AI,10,23.0117
17,Adaptive AI,10,26.4773
18,Adaptive AI,10,22.5577
19,Adaptive AI,10,20.8434
0,Adaptive AI,20,21.0118
1,Adaptive AI,20,18.6271
2,Adaptive AI,20,23.6819
3,Adaptive AI,20,23.9521
4,Adaptive AI,20,21.9324
5,Adaptive AI,20,23.2297
6,Adaptive AI,20,25.8033
7,Adaptive AI,20,24.5585
8,Adaptive AI,20,23.8818
9,Adaptive AI,20,23.8437
10,Adaptive AI,20,20.8711
11,Adaptive AI,20,24.3731
12,Adaptive AI,20,19.3671
13,Adaptive AI,20,21.8895
14,Adaptive AI,20,21.6879
15,Adaptive AI,20,19.2137
16,Adaptive AI,20,22.3144
17,Adaptive AI,20,25.675
18,Adaptive AI,20,21.8741
19,Adaptive AI,20,20.2118
0,Adaptive AI,40,22.8647
1,Adaptive AI,40,19.6324
2,Adaptive AI,40,25.6204
3,Adaptive AI,40,22.2
4,Adaptive AI,40,23.5284
5,Adaptive AI,40,21.894
6,Adaptive AI,40,21.1397
7,Adaptive AI,40,22.2842
8,Adaptive AI,40,22.6713
9,Adaptive AI,40,25.4309
10,Adaptive AI,40,22.351
11,Adaptive AI,40,17.1506
12,Adaptive AI,40,21.0862
13,Adaptive AI,40,20.4403
14,Adaptive AI,40,21.6005
15,Adaptive AI,40,19.595
16,Adaptive AI,40,21.4569
17,Adaptive AI,40,21.71
18,Adaptive AI,40,20.7774
19,Adaptive AI,40,24.5662
0,Static,5,14.4304
1,Static,5,11.5626
2,Static,5,17.6416
3,Static,5,17.9665
4,Static,5,15.5377
5,Static,5,17.0978
6,Static,5,20.1929
7,Static,5,18.6959
8,Static,5,17.882
9,Static,5,17.8362
10,Static,5,14.2613
11,Static,5,18.4729
12,Static,5,12.4526
13,Static,5,15.4861
14,Static,5,15.2436
15,Static,5,12.2681
16,Static,5,15.9971
17,Static,5,20.0386
18,Static,5,15.4676
19,Static,5,13.4685
0,Static,10,14.0719
1,Static,10,11.2754
2,Static,10,17.2033
3,Static,10,17.5202
4,Static,10,15.1516
5,Static,10,16.673
6,Static,10,19.6912
7,Static,10,18.2314
8,Static,10,17.4378
9,Static,10,17.393
10,Static,10,13.907
11,Static,10,18.0139
12,Static,10,12.1432
13,Static,10,15.1013
14,Static,10,14.8649
15,Static,10,11.9633
16,Static,10,15.5996
17,Static,10,19.5407
18,Static,10,15.0833
19,Static,10,13.1339
0,Static,20,13.7134
1,Static,20,10.9881
2,Static,20,16.765
3,Static,20,17.0738
4,Static,20,14.7656
5,Static,20,16.2482
6,Static,20,19.1895
7,Static,20,17.7669
8,Static,20,16.9935
9,Static,20,16.9499
10,Static,20,13.5527
11,Static,20,17.555
12,Static,20,11.8338
13,Static,20,14.7166
14,Static,20,14.4862
15,Static,20,11.6585
16,Static,20,15.2022
17,Static,20,19.0429
18,Static,20,14.699
19,Static,20,12.7993
0,Static,40,15.7682
1,Static,40,12.8592
2,Static,40,18.2483
3,Static,40,15.17
4,Static,40,16.3656
5,Static,40,14.8946
6,Static,40,14.2157
7,Static,40,15.2457
8,Static,40,15.5942
9,Static,40,18.0778
10,Static,40,15.3059
11,Static,40,10.6256
12,Static,40,14.1676
13,Static,40,13.5863
14,Static,40,14.6305
15,Static,40,12.8255
16,Static,40,14.5012
17,Static,40,14.729
18,Static,40,13.8896
19,Static,40,17.2995
