seed,event,method,ld,fp_pct,gov_compliance_pct,region,event_year
1,Mediterranean '21,PPO-GOMDP,16.7797,9.5967,100.0,mediterranean_2021,2021
2,Mediterranean '21,PPO-GOMDP,31.1096,11.7885,100.0,mediterranean_2021,2021
3,Mediterranean '21,PPO-GOMDP,25.1695,6.6366,100.0,mediterranean_2021,2021
4,Mediterranean '21,PPO-GOMDP,19.8676,8.0715,100.0,mediterranean_2021,2021
5,Mediterranean '21,PPO-GOMDP,23.1183,4.8676,100.0,mediterranean_2021,2021
6,Mediterranean '21,PPO-GOMDP,26.602,11.552,100.0,mediterranean_2021,2021
7,Mediterranean '21,PPO-GOMDP,18.6757,12.4889,100.0,mediterranean_2021,2021
8,Mediterranean '21,PPO-GOMDP,19.361,10.7065,100.0,mediterranean_2021,2021
9,Mediterranean '21,PPO-GOMDP,26.7658,9.3083,100.0,mediterranean_2021,2021
10,Mediterranean '21,PPO-GOMDP,22.0204,13.7075,100.0,mediterranean_2021,2021
11,Mediterranean '21,PPO-GOMDP,28.9943,10.0905,100.0,mediterranean_2021,2021
12,Mediterranean '21,PPO-GOMDP,23.1682,7.857,100.0,mediterranean_2021,2021
13,Mediterranean '21,PPO-GOMDP,23.4606,9.6558,100.0,mediterranean_2021,2021
14,Mediterranean '21,PPO-GOMDP,26.9057,7.6343,100.0,mediterranean_2021,2021
15,Mediterranean '21,PPO-GOMDP,30.3431,10.3795,100.0,mediterranean_2021,2021
16,Mediterranean '21,PPO-GOMDP,28.2734,9.2985,100.0,mediterranean_2021,2021
17,Mediterranean '21,PPO-GOMDP,27.5108,5.4064,100.0,mediterranean_2021,2021
18,Mediterranean '21,PPO-GOMDP,20.2287,10.9403,100.0,mediterranean_2021,2021
19,Mediterranean '21,PPO-GOMDP,22.3641,4.9916,100.0,mediterranean_2021,2021
0,Mediterranean '21,Greedy-GOMDP,25.6377,7.1388,100.0,mediterranean_2021,2021
1,Mediterranean '21,Greedy-GOMDP,20.587,9.8166,100.0,mediterranean_2021,2021
2,Mediterranean '21,Greedy-GOMDP,36.6645,12.096,100.0,mediterranean_2021,2021
3,Mediterranean '21,Greedy-GOMDP,29.9999,6.7381,100.0,mediterranean_2021,2021
4,Mediterranean '21,Greedy-GOMDP,24.0514,8.2303,100.0,mediterranean_2021,2021
5,Mediterranean '21,Greedy-GOMDP,27.6985,4.8983,100.0,mediterranean_2021,2021
6,Mediterranean '21,Greedy-GOMDP,31.6071,11.8501,100.0,mediterranean_2021,2021
7,Mediterranean '21,Greedy-GOMDP,22.7142,12.8244,100.0,mediterranean_2021,2021
8,Mediterranean '21,Greedy-GOMDP,23.4831,10.9708,100.0,mediterranean_2021,2021
9,Mediterranean '21,Greedy-GOMDP,31.7909,9.5166,100.0,mediterranean_2021,2021
10,Mediterranean '21,Greedy-GOMDP,26.4668,14.0918,100.0,mediterranean_2021,2021
11,Mediterranean '21,Greedy-GOMDP,34.2911,10.3301,100.0,mediterranean_2021,2021
12,Mediterranean '21,Greedy-GOMDP,27.7546,8.0073,100.0,mediterranean_2021,2021
13,Mediterranean '21,Greedy-GOMDP,28.0826,9.878,100.0,mediterranean_2021,2021
14,Mediterranean '21,Greedy-GOMDP,31.9479,7.7757,100.0,mediterranean_2021,2021
15,Mediterranean '21,Greedy-GOMDP,35.8045,10.6306,100.0,mediterranean_2021,2021
16,Mediterranean '21,Greedy-GOMDP,33.4824,9.5064,100.0,mediterranean_2021,2021
17,Mediterranean '21,Greedy-GOMDP,32.6267,5.4586,100.0,mediterranean_2021,2021
18,Mediterranean '21,Greedy-GOMDP,24.4566,11.2139,100.0,mediterranean_2021,2021
19,Mediterranean '21,Greedy-GOMDP,26.8524,5.0273,100.0,mediterranean_2021,2021
0,Mediterranean '21,PPO-CMDP,20.919,8.9063,100.0,mediterranean_2021,2021
1,Mediterranean '21,PPO-CMDP,16.6368,11.996,100.0,mediterranean_2021,2021
2,Mediterranean '21,PPO-CMDP,30.2677,14.6262,100.0,mediterranean_2021,2021
3,Mediterranean '21,PPO-CMDP,24.6173,8.444,100.0,mediterranean_2021,2021
4,Mediterranean '21,PPO-CMDP,19.5741,10.1658,100.0,mediterranean_2021,2021
5,Mediterranean '21,PPO-CMDP,22.6661,6.3212,100.0,mediterranean_2021,2021
6,Mediterranean '21,PPO-CMDP,25.98,14.3424,100.0,mediterranean_2021,2021
7,Mediterranean '21,PPO-CMDP,18.4403,15.4667,100.0,mediterranean_2021,2021
8,Mediterranean '21,PPO-CMDP,19.0922,13.3278,100.0,mediterranean_2021,2021
9,Mediterranean '21,PPO-CMDP,26.1358,11.65,100.0,mediterranean_2021,2021
10,Mediterranean '21,PPO-CMDP,21.6219,16.929,100.0,mediterranean_2021,2021
11,Mediterranean '21,PPO-CMDP,28.2555,12.5886,100.0,mediterranean_2021,2021
12,Mediterranean '21,PPO-CMDP,22.7136,9.9084,100.0,mediterranean_2021,2021
13,Mediterranean '21,PPO-CMDP,22.9918,12.0669,100.0,mediterranean_2021,2021
14,Mediterranean '21,PPO-CMDP,26.2689,9.6412,100.0,mediterranean_2021,2021
15,Mediterranean '21,PPO-CMDP,29.5386,12.9353,100.0,mediterranean_2021,2021
16,Mediterranean '21,PPO-CMDP,27.5698,11.6382,100.0,mediterranean_2021,2021
17,Mediterranean '21,PPO-CMDP,26.8444,6.9677,100.0,mediterranean_2021,2021
18,Mediterranean '21,PPO-CMDP,19.9175,13.6084,48.0,mediterranean_2021,2021
19,Mediterranean '21,PPO-CMDP,21.9488,6.47,48.0,mediterranean_2021,2021
0,Mediterranean '21,Adaptive AI,19.2939,22.6088,0.0,mediterranean_2021,2021
1,Mediterranean '21,Adaptive AI,15.451,26.9345,0.0,mediterranean_2021,2021
2,Mediterranean '21,Adaptive AI,27.6838,30.6167,0.0,mediterranean_2021,2021
3,Mediterranean '21,Adaptive AI,22.613,21.9615,0.0,mediterranean_2021,2021
4,Mediterranean '21,Adaptive AI,18.087,24.3721,0.0,mediterranean_2021,2021
5,Mediterranean '21,Adaptive AI,20.8619,18.9896,0.0,mediterranean_2021,2021
6,Mediterranean '21,Adaptive AI,23.8359,30.2194,0.0,mediterranean_2021,2021
7,Mediterranean '21,Adaptive AI,17.0695,31.7933,0.0,mediterranean_2021,2021
8,Mediterranean '21,Adaptive AI,17.6545,28.799,0.0,mediterranean_2021,2021
9,Mediterranean '21,Adaptive AI,23.9757,26.45,0.0,mediterranean_2021,2021
10,Mediterranean '21,Adaptive AI,19.9248,33.8405,0.0,mediterranean_2021,2021
11,Mediterranean '21,Adaptive AI,25.878,27.7641,0.0,mediterranean_2021,2021
12,Mediterranean '21,Adaptive AI,20.9046,24.0118,0.0,mediterranean_2021,2021
13,Mediterranean '21,Adaptive AI,21.1541,27.0337,0.0,mediterranean_2021,2021
14,Mediterranean '21,Adaptive AI,24.0951,23.6377,0.0,mediterranean_2021,2021
15,Mediterranean '21,Adaptive AI,27.0295,28.2495,0.0,mediterranean_2021,2021
16,Mediterranean '21,Adaptive AI,25.2627,26.4335,0.0,mediterranean_2021,2021
17,Mediterranean '21,Adaptive AI,24.6116,19.8947,0.0,mediterranean_2021,2021
18,Mediterranean '21,Adaptive AI,18.3952,29.1917,0.0,mediterranean_2021,2021
19,Mediterranean '21,Adaptive AI,20.2182,19.1979,0.0,mediterranean_2021,2021
0,NSW '19–20,PPO-GOMDP,19.9439,6.3207,100.0,australia_2019,2019
1,NSW '19–20,PPO-GOMDP,16.9793,8.2775,100.0,australia_2019,2019
2,NSW '19–20,PPO-GOMDP,26.4161,9.9433,100.0,australia_2019,2019
3,NSW '19–20,PPO-GOMDP,22.5043,6.0278,100.0,australia_2019,2019
4,NSW '19–20,PPO-GOMDP,19.0128,7.1183,100.0,australia_2019,2019
5,NSW '19–20,PPO-GOMDP,21.1535,4.6834,100.0,australia_2019,2019
6,NSW '19–20,PPO-GOMDP,23.4477,9.7635,100.0,australia_2019,2019
7,NSW '19–20,PPO-GOMDP,18.2279,10.4755,100.0,australia_2019,2019
8,NSW '19–20,PPO-GOMDP,18.6792,9.121,100.0,australia_2019,2019
9,NSW '19–20,PPO-GOMDP,23.5555,8.0583,100.0,australia_2019,2019
10,NSW '19–20,PPO-GOMDP,20.4305,11.4017,100.0,australia_2019,2019
11,NSW '19–20,PPO-GOMDP,25.023,8.6528,100.0,australia_2019,2019
12,NSW '19–20,PPO-GOMDP,21.1864,6.9553,100.0,australia_2019,2019
13,NSW '19–20,PPO-GOMDP,21.3789,8.3224,100.0,australia_2019,2019
14,NSW '19–20,PPO-GOMDP,23.6477,6.7861,100.0,australia_2019,2019
15,NSW '19–20,PPO-GOMDP,25.9113,8.8724,100.0,australia_2019,2019
16,NSW '19–20,PPO-GOMDP,24.5483,8.0509,100.0,australia_2019,2019
17,NSW '19–20,PPO-GOMDP,24.0461,5.0929,100.0,australia_2019,2019
18,NSW '19–20,PPO-GOMDP,19.2506,9.2986,100.0,australia_2019,2019
19,NSW '19–20,PPO-GOMDP,20.6569,4.7776,100.0,australia_2019,2019
0,NSW '19–20,Greedy-GOMDP,23.8314,6.4544,100.0,australia_2019,2019
1,NSW '19–20,Greedy-GOMDP,20.2081,8.6172,100.0,australia_2019,2019
2,NSW '19–20,Greedy-GOMDP,31.7419,10.4583,100.0,australia_2019,2019
3,NSW '19–20,Greedy-GOMDP,26.9608,6.1308,100.0,australia_2019,2019
4,NSW '19–20,Greedy-GOMDP,22.6934,7.336,100.0,australia_2019,2019
5,NSW '19–20,Greedy-GOMDP,25.3098,4.6448,100.0,australia_2019,2019
6,NSW '19–20,Greedy-GOMDP,28.1138,10.2597,100.0,australia_2019,2019
7,NSW '19–20,Greedy-GOMDP,21.7341,11.0467,100.0,australia_2019,2019
8,NSW '19–20,Greedy-GOMDP,22.2857,9.5495,100.0,australia_2019,2019
9,NSW '19–20,Greedy-GOMDP,28.2457,8.375,100.0,australia_2019,2019
10,NSW '19–20,Greedy-GOMDP,24.4262,12.0703,100.0,australia_2019,2019
11,NSW '19–20,Greedy-GOMDP,30.0393,9.032,100.0,australia_2019,2019
12,NSW '19–20,Greedy-GOMDP,25.35,7.1559,100.0,australia_2019,2019
13,NSW '19–20,Greedy-GOMDP,25.5853,8.6668,100.0,australia_2019,2019
14,NSW '19–20,Greedy-GOMDP,28.3583,6.9688,100.0,australia_2019,2019
15,NSW '19–20,Greedy-GOMDP,31.125,9.2747,100.0,australia_2019,2019
16,NSW '19–20,Greedy-GOMDP,29.4591,8.3667,100.0,australia_2019,2019
17,NSW '19–20,Greedy-GOMDP,28.8452,5.0974,100.0,australia_2019,2019
18,NSW '19–20,Greedy-GOMDP,22.9841,9.7458,100.0,australia_2019,2019
19,NSW '19–20,Greedy-GOMDP,24.7028,4.749,100.0,australia_2019,2019
0,NSW '19–20,PPO-CMDP,19.3751,8.105,100.0,australia_2019,2019
1,NSW '19–20,PPO-CMDP,16.3008,10.5768,100.0,australia_2019,2019
2,NSW '19–20,PPO-CMDP,26.0871,12.681,100.0,australia_2019,2019
3,NSW '19–20,PPO-CMDP,22.0304,7.7352,100.0,australia_2019,2019
4,NSW '19–20,PPO-CMDP,18.4096,9.1126,100.0,australia_2019,2019
5,NSW '19–20,PPO-CMDP,20.6295,6.0369,100.0,australia_2019,2019
6,NSW '19–20,PPO-CMDP,23.0087,12.4539,100.0,australia_2019,2019
7,NSW '19–20,PPO-CMDP,17.5956,13.3533,100.0,australia_2019,2019
8,NSW '19–20,PPO-CMDP,18.0636,11.6423,100.0,australia_2019,2019
9,NSW '19–20,PPO-CMDP,23.1206,10.3,100.0,australia_2019,2019
10,NSW '19–20,PPO-CMDP,19.8798,14.5232,100.0,australia_2019,2019
11,NSW '19–20,PPO-CMDP,24.6424,11.0509,100.0,australia_2019,2019
12,NSW '19–20,PPO-CMDP,20.6636,8.9067,100.0,australia_2019,2019
13,NSW '19–20,PPO-CMDP,20.8633,10.6335,100.0,australia_2019,2019
14,NSW '19–20,PPO-CMDP,23.2161,8.693,100.0,australia_2019,2019
15,NSW '19–20,PPO-CMDP,25.5636,11.3283,100.0,australia_2019,2019
16,NSW '19–20,PPO-CMDP,24.1501,10.2906,100.0,australia_2019,2019
17,NSW '19–20,PPO-CMDP,23.6293,6.5541,100.0,australia_2019,2019
18,NSW '19–20,PPO-CMDP,18.6562,11.8667,72.0,australia_2019,2019
19,NSW '19–20,PPO-CMDP,20.1145,6.156,72.0,australia_2019,2019
0,NSW '19–20,Adaptive AI,18.0126,20.9907,0.0,australia_2019,2019
1,NSW '19–20,Adaptive AI,15.1579,24.5954,0.0,australia_2019,2019
2,NSW '19–20,Adaptive AI,24.2451,27.6639,0.0,australia_2019,2019
3,NSW '19–20,Adaptive AI,20.4782,20.4513,0.0,australia_2019,2019
4,NSW '19–20,Adaptive AI,17.116,22.4601,0.0,australia_2019,2019
5,NSW '19–20,Adaptive AI,19.1774,17.9747,0.0,australia_2019,2019
6,NSW '19–20,Adaptive AI,21.3866,27.3328,0.0,australia_2019,2019
7,NSW '19–20,Adaptive AI,16.3602,28.6444,0.0,australia_2019,2019
8,NSW '19–20,Adaptive AI,16.7948,26.1491,0.0,australia_2019,2019
9,NSW '19–20,Adaptive AI,21.4905,24.1916,0.0,australia_2019,2019
10,NSW '19–20,Adaptive AI,18.4813,30.3505,0.0,australia_2019,2019
11,NSW '19–20,Adaptive AI,22.9037,25.2867,0.0,australia_2019,2019
12,NSW '19–20,Adaptive AI,19.2091,22.1598,0.0,australia_2019,2019
13,NSW '19–20,Adaptive AI,19.3945,24.6781,0.0,australia_2019,2019
14,NSW '19–20,Adaptive AI,21.5792,21.8481,0.0,australia_2019,2019
15,NSW '19–20,Adaptive AI,23.7591,25.6912,0.0,australia_2019,2019
16,NSW '19–20,Adaptive AI,22.4465,24.1779,0.0,australia_2019,2019
17,NSW '19–20,Adaptive AI,21.9629,18.7289,0.0,australia_2019,2019
18,NSW '19–20,Adaptive AI,17.345,26.4764,0.0,australia_2019,2019
19,NSW '19–20,Adaptive AI,18.6992,18.1483,0.0,australia_2019,2019
