seed,config,n_uavs,ld
16,greedy_gomdp,5,49.4681
17,greedy_gomdp,5,51.4911
18,greedy_gomdp,5,44.1825
19,greedy_gomdp,5,50.7661
0,greedy_gomdp,10,29.8037
1,greedy_gomdp,10,27.2774
2,greedy_gomdp,10,31.4355
3,greedy_gomdp,10,31.2599
4,greedy_gomdp,10,30.1647
5,greedy_gomdp,10,27.0318
6,greedy_gomdp,10,28.3111
7,greedy_gomdp,10,28.5082
8,greedy_gomdp,10,29.7533
9,greedy_gomdp,10,31.7579
10,greedy_gomdp,10,33.9441
11,greedy_gomdp,10,27.2363
12,greedy_gomdp,10,33.9128
13,greedy_gomdp,10,27.712
14,greedy_gomdp,10,29.846
15,greedy_gomdp,10,30.5259
16,greedy_gomdp,10,31.6885
17,greedy_gomdp,10,32.9601
18,greedy_gomdp,10,28.3662
19,greedy_gomdp,10,32.5044
0,greedy_gomdp,20,18.0478
1,greedy_gomdp,20,16.4402
2,greedy_gomdp,20,19.0862
3,greedy_gomdp,20,18.9745
4,greedy_gomdp,20,18.2775
5,greedy_gomdp,20,16.2839
6,greedy_gomdp,20,17.098
7,greedy_gomdp,20,17.2234
8,greedy_gomdp,20,18.0158
9,greedy_gomdp,20,19.2914
10,greedy_gomdp,20,20.6826
11,greedy_gomdp,20,16.414
12,greedy_gomdp,20,20.6627
13,greedy_gomdp,20,16.7167
14,greedy_gomdp,20,18.0748
15,greedy_gomdp,20,18.5074
16,greedy_gomdp,20,19.2472
17,greedy_gomdp,20,20.0564
18,greedy_gomdp,20,17.133
19,greedy_gomdp,20,19.7664
0,greedy_gomdp,40,9.9379
1,greedy_gomdp,40,8.9044
2,greedy_gomdp,40,10.6054
3,greedy_gomdp,40,10.5336
4,greedy_gomdp,40,10.0856
5,greedy_gomdp,40,8.8039
6,greedy_gomdp,40,9.3273
7,greedy_gomdp,40,9.4079
8,greedy_gomdp,40,9.9173
9,greedy_gomdp,40,10.7373
10,greedy_gomdp,40,11.6317
11,greedy_gomdp,40,8.8876
12,greedy_gomdp,40,11.6189
13,greedy_gomdp,40,9.0822
14,greedy_gomdp,40,9.9552
15,greedy_gomdp,40,10.2333
16,greedy_gomdp,40,10.7089
17,greedy_gomdp,40,11.2291
18,greedy_gomdp,40,9.3498
19,greedy_gomdp,40,11.0427
0,ppo_cmdp,5,38.2956
1,ppo_cmdp,5,35.0804
2,ppo_cmdp,5,40.3725
3,ppo_cmdp,5,40.149
4,ppo_cmdp,5,38.7551
5,ppo_cmdp,5,34.7677
6,ppo_cmdp,5,36.3959
7,ppo_cmdp,5,36.6469
8,ppo_cmdp,5,38.2315
9,ppo_cmdp,5,40.7828
10,ppo_cmdp,5,43.5653
11,ppo_cmdp,5,35.028
12,ppo_cmdp,5,43.5254
13,ppo_cmdp,5,35.6334
14,ppo_cmdp,5,38.3495
15,ppo_cmdp,5,39.2148
16,ppo_cmdp,5,40.6945
17,ppo_cmdp,5,42.3129
18,ppo_cmdp,5,36.466
19,ppo_cmdp,5,41.7329
0,ppo_cmdp,10,24.0758
1,ppo_cmdp,10,22.0088
2,ppo_cmdp,10,25.4109
3,ppo_cmdp,10,25.2672
4,ppo_cmdp,10,24.3711
5,ppo_cmdp,10,21.8078
6,ppo_cmdp,10,22.8545
7,ppo_cmdp,10,23.0158
8,ppo_cmdp,10,24.0345
9,ppo_cmdp,10,25.6747
10,ppo_cmdp,10,27.4634
11,ppo_cmdp,10,21.9751
12,ppo_cmdp,10,27.4378
13,ppo_cmdp,10,22.3644
14,ppo_cmdp,10,24.1104
15,ppo_cmdp,10,24.6666
16,ppo_cmdp,10,25.6179
17,ppo_cmdp,10,26.6583
18,ppo_cmdp,10,22.8996
19,ppo_cmdp,10,26.2854
0,ppo_cmdp,20,13.7364
1,ppo_cmdp,20,14.1091
2,ppo_cmdp,20,15.6044
3,ppo_cmdp,20,15.1212
4,ppo_cmdp,20,15.2071
5,ppo_cmdp,20,13.9276
6,ppo_cmdp,20,14.9288
7,ppo_cmdp,20,15.9599
8,ppo_cmdp,20,16.4634
9,ppo_cmdp,20,14.9931
10,ppo_cmdp,20,14.2398
11,ppo_cmdp,20,14.3028
12,ppo_cmdp,20,13.6451
13,ppo_cmdp,20,15.8338
14,ppo_cmdp,20,13.6866
15,ppo_cmdp,20,15.2027
16,ppo_cmdp,20,14.2455
17,ppo_cmdp,20,15.4182
18,ppo_cmdp,20,16.4849
19,ppo_cmdp,20,12.8895
0,ppo_cmdp,40,9.4559
1,ppo_cmdp,40,8.5372
2,ppo_cmdp,40,10.0493
3,ppo_cmdp,40,9.9854
4,ppo_cmdp,40,9.5872
5,ppo_cmdp,40,8.4479
6,ppo_cmdp,40,8.9131
7,ppo_cmdp,40,8.9848
8,ppo_cmdp,40,9.4376
9,ppo_cmdp,40,10.1665
10,ppo_cmdp,40,10.9615
11,ppo_cmdp,40,8.5223
12,ppo_cmdp,40,10.9501
13,ppo_cmdp,40,8.6953
14,ppo_cmdp,40,9.4713
15,ppo_cmdp,40,9.7185
16,ppo_cmdp,40,10.1413
17,ppo_cmdp,40,10.6037
18,ppo_cmdp,40,8.9331
19,ppo_cmdp,40,10.438
0,wcsac,5,38.9776
1,wcsac,5,35.6475
2,wcsac,5,41.1286
3,wcsac,5,40.8971
4,wcsac,5,39.4535
5,wcsac,5,35.3237
6,wcsac,5,37.0101
7,wcsac,5,37.27
8,wcsac,5,38.9112
9,wcsac,5,41.5536
10,wcsac,5,44.4354
11,wcsac,5,35.5933
12,wcsac,5,44.3942
13,wcsac,5,36.2204
14,wcsac,5,39.0334
15,wcsac,5,39.9296
16,wcsac,5,41.4621
17,wcsac,5,43.1383
18,wcsac,5,37.0827
19,wcsac,5,42.5376
0,wcsac,10,24.7577
1,wcsac,10,22.576
2,wcsac,10,26.167
3,wcsac,10,26.0154
4,wcsac,10,25.0695
5,wcsac,10,22.3638
6,wcsac,10,23.4687
7,wcsac,10,23.6389
8,wcsac,10,24.7142
9,wcsac,10,26.4455
10,wcsac,10,28.3336
11,wcsac,10,22.5404
12,wcsac,10,28.3065
13,wcsac,10,22.9513
14,wcsac,10,24.7943
15,wcsac,10,25.3815
16,wcsac,10,26.3855
17,wcsac,10,27.4837
18,wcsac,10,23.5162
19,wcsac,10,27.0902
0,wcsac,20,14.3838
1,wcsac,20,13.0059
2,wcsac,20,15.2739
3,wcsac,20,15.1781
4,wcsac,20,14.5807
5,wcsac,20,12.8719
6,wcsac,20,13.5697
7,wcsac,20,13.6772
8,wcsac,20,14.3564
9,wcsac,20,15.4498
10,wcsac,20,16.6423
11,wcsac,20,12.9834
12,wcsac,20,16.6252
13,wcsac,20,13.2429
14,wcsac,20,14.4069
15,wcsac,20,14.7778
16,wcsac,20,15.4119
17,wcsac,20,16.1055
18,wcsac,20,13.5997
19,wcsac,20,15.8569
0,wcsac,40,9.7559
1,wcsac,40,8.8372
2,wcsac,40,10.3493
3,wcsac,40,10.2854
4,wcsac,40,9.8872
5,wcsac,40,8.7479
6,wcsac,40,9.2131
7,wcsac,40,9.2848
8,wcsac,40,9.7376
9,wcsac,40,10.4665
10,wcsac,40,11.2615
11,wcsac,40,8.8223
12,wcsac,40,11.2501
13,wcsac,40,8.9953
14,wcsac,40,9.7713
15,wcsac,40,10.0185
16,wcsac,40,10.4413
17,wcsac,40,10.9037
18,wcsac,40,9.2331
19,wcsac,40,10.738
0,adaptive_ai,5,41.9416
1,adaptive_ai,5,38.3818
2,adaptive_ai,5,44.241
3,adaptive_ai,5,43.9935
4,adaptive_ai,5,42.4503
5,adaptive_ai,5,38.0357
6,adaptive_ai,5,39.8384
7,adaptive_ai,5,40.1162
8,adaptive_ai,5,41.8706
9,adaptive_ai,5,44.6953
10,adaptive_ai,5,47.7758
11,adaptive_ai,5,38.3238
12,adaptive_ai,5,47.7317
13,adaptive_ai,5,38.9942
14,adaptive_ai,5,42.0012
15,adaptive_ai,5,42.9592
16,adaptive_ai,5,44.5975
17,adaptive_ai,5,46.3892
18,adaptive_ai,5,39.9159
19,adaptive_ai,5,45.7471
0,adaptive_ai,10,26.7397
1,adaptive_ai,10,24.4431
2,adaptive_ai,10,28.2232
3,adaptive_ai,10,28.0635
4,adaptive_ai,10,27.0679
5,adaptive_ai,10,24.2198
6,adaptive_ai,10,25.3828
7,adaptive_ai,10,25.562
8,adaptive_ai,10,26.6939
9,adaptive_ai,10,28.5163
10,adaptive_ai,10,30.5038
11,adaptive_ai,10,24.4057
12,adaptive_ai,10,30.4753
13,adaptive_ai,10,24.8382
14,adaptive_ai,10,26.7782
15,adaptive_ai,10,27.3963
16,adaptive_ai,10,28.4532
17,adaptive_ai,10,29.6092
18,adaptive_ai,10,25.4329
19,adaptive_ai,10,29.1949
0,adaptive_ai,20,15.9838
1,adaptive_ai,20,14.6059
2,adaptive_ai,20,16.8739
3,adaptive_ai,20,16.7781
4,adaptive_ai,20,16.1807
5,adaptive_ai,20,14.4719
6,adaptive_ai,20,15.1697
7,adaptive_ai,20,15.2772
8,adaptive_ai,20,15.9564
9,adaptive_ai,20,17.0498
10,adaptive_ai,20,18.2423
11,adaptive_ai,20,14.5834
12,adaptive_ai,20,18.2252
13,adaptive_ai,20,14.8429
14,adaptive_ai,20,16.0069
15,adaptive_ai,20,16.3778
16,adaptive_ai,20,17.0119
17,adaptive_ai,20,17.7055
18,adaptive_ai,20,15.1997
19,adaptive_ai,20,17.4569
0,adaptive_ai,40,11.1379
1,adaptive_ai,40,10.1044
2,adaptive_ai,40,11.8054
3,adaptive_ai,40,11.7336
4,adaptive_ai,40,11.2856
5,adaptive_ai,40,10.0039
6,adaptive_ai,40,10.5273
7,adaptive_ai,40,10.6079
8,adaptive_ai,40,11.1173
9,adaptive_ai,40,11.9373
10,adaptive_ai,40,12.8317
11,adaptive_ai,40,10.0876
12,adaptive_ai,40,12.8189
13,adaptive_ai,40,10.2822
14,adaptive_ai,40,11.1552
15,adaptive_ai,40,11.4333
16,adaptive_ai,40,11.9089
17,adaptive_ai,40,12.4291
18,adaptive_ai,40,10.5498
19,adaptive_ai,40,12.2427
0,static,5,63.3354
1,static,5,57.8235
2,static,5,66.8957
3,static,5,66.5125
4,static,5,64.123
5,static,5,57.2876
6,static,5,60.0788
7,static,5,60.5089
8,static,5,63.2255
9,static,5,67.5991
10,static,5,72.369
11,static,5,57.7337
12,static,5,72.3007
13,static,5,58.7716
14,static,5,63.4277
15,static,5,64.911
16,static,5,67.4477
17,static,5,70.2221
18,static,5,60.1989
19,static,5,69.2278
0,static,10,52.0975
1,static,10,47.6191
2,static,10,54.9902
3,static,10,54.6789
4,static,10,52.7374
5,static,10,47.1836
6,static,10,49.4515
7,static,10,49.801
8,static,10,52.0082
9,static,10,55.5618
10,static,10,59.4373
11,static,10,47.5461
12,static,10,59.3818
13,static,10,48.3894
14,static,10,52.1725
15,static,10,53.3777
16,static,10,55.4387
17,static,10,57.6929
18,static,10,49.5491
19,static,10,56.8851
0,static,20,40.9416
1,static,20,37.3818
2,static,20,43.241
3,static,20,42.9935
4,static,20,41.4503
5,static,20,37.0357
6,static,20,38.8384
7,static,20,39.1162
8,static,20,40.8706
9,static,20,43.6953
10,static,20,46.7758
11,static,20,37.3238
12,static,20,46.7317
13,static,20,37.9942
14,static,20,41.0012
15,static,20,41.9592
16,static,20,43.5975
17,static,20,45.3892
18,static,20,38.9159
19,static,20,44.7471
0,static,40,35.9136
1,static,40,32.8132
2,static,40,37.9163
3,static,40,37.7008
4,static,40,36.3567
5,static,40,32.5118
6,static,40,34.0818
7,static,40,34.3237
8,static,40,35.8518
9,static,40,38.312
10,static,40,40.9951
11,static,40,32.7627
12,static,40,40.9567
13,static,40,33.3465
14,static,40,35.9656
15,static,40,36.8
16,static,40,38.2268
17,static,40,39.7874
18,static,40,34.1494
19,static,40,39.2281
